"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"M",0.44,NA,NA,0.413,0.144,NA,NA,8
"I",0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8
"I",0.355,0.28,0.11,NA,0.0815,0.0525,0.08,7
"M",0.175,NA,0.04,0.024,0.0095,0.006,0.005,4
"I",0.535,0.4,0.135,0.775,0.368,0.208,0.2055,NA
"I",0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,NA
"I",0.575,NA,0.13,0.805,NA,0.2155,0.245,10
"M",0.455,0.345,0.125,NA,0.169,NA,0.135,NA
"I",0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
"F",NA,0.45,NA,0.7805,0.3345,0.185,0.21,8
"I",0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
"M",0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
"M",0.63,NA,0.155,1.278,0.637,0.275,0.31,8
"I",NA,0.35,0.11,0.4675,0.2125,0.099,0.1375,NA
"I",NA,0.4,0.145,0.5775,NA,NA,0.177,9
"F",0.455,0.35,NA,0.4555,0.1945,0.1045,0.1375,7
"M",NA,0.335,0.125,0.4475,0.2165,0.126,0.11,6
"F",NA,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
"M",0.49,0.355,0.155,NA,0.465,0.2015,NA,8
"I",0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
"I",NA,0.39,0.125,0.591,NA,0.141,0.12,9
"F",0.615,NA,0.155,1.027,0.447,0.25,0.285,9
"F",NA,NA,0.16,0.9045,NA,0.2215,0.2335,8
"I",0.66,NA,NA,1.786,0.6725,0.3615,0.4065,NA
"M",0.6,0.495,0.175,1.3005,0.6195,0.284,NA,11
"I",NA,0.23,0.07,0.144,0.053,NA,0.04,8
"F",NA,0.535,0.175,1.8385,0.8035,0.396,0.503,10
"F",NA,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
"I",0.295,0.215,0.075,0.116,NA,0.0295,0.04,8
"I",0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
"M",0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
"M",0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
"M",0.55,0.43,0.15,NA,0.413,NA,0.248,9
"I",0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
"F",NA,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
"I",0.53,0.4,NA,NA,0.1935,0.1305,0.195,9
"F",0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
"M",0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9
"M",0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
"F",0.565,0.455,0.175,NA,0.342,0.207,NA,19
"F",0.66,0.53,NA,1.3485,0.493,0.245,0.49,12
"F",0.45,NA,NA,0.425,0.1865,0.091,0.115,9
"I",0.45,0.355,0.11,0.4585,0.194,NA,0.14,NA
"I",0.39,0.29,0.09,0.2625,0.117,0.054,NA,7
"F",0.63,0.475,0.155,NA,0.452,0.252,0.265,10
"I",0.3,0.23,0.075,0.127,0.052,0.03,0.0345,NA
"F",0.47,0.35,0.115,0.487,0.1955,0.127,0.155,8
"F",0.66,0.53,0.185,1.346,NA,0.2705,0.476,11
"M",0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
"M",NA,0.54,0.185,1.6195,0.533,0.353,0.555,NA
"F",0.7,NA,0.17,1.31,0.5095,NA,0.42,14
"M",0.56,NA,0.155,0.8675,0.4,NA,0.229,8
"M",0.65,0.5,NA,NA,0.6165,0.2355,0.32,8
"I",0.48,0.35,NA,0.519,0.2365,NA,0.126,7
"I",0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,NA
"M",0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
"M",NA,0.475,0.155,1.161,0.572,NA,0.275,9
"M",0.54,0.435,0.14,0.7345,NA,NA,0.213,9
"M",NA,0.485,0.195,1.62,NA,0.358,0.485,17
"M",NA,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
"F",0.465,0.39,NA,0.6355,0.1815,0.157,NA,13
"I",0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
"M",0.495,NA,0.115,0.6245,NA,0.143,0.155,6
"M",0.57,0.46,0.15,1.0375,0.5415,0.2035,NA,9
"F",NA,0.505,NA,1.2765,0.4835,0.328,NA,12
"M",0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
"F",0.63,NA,0.175,NA,0.467,0.268,NA,10
"F",0.62,0.5,0.175,1.107,0.4895,NA,NA,11
"M",0.58,0.44,0.16,NA,NA,NA,NA,9
"I",0.515,0.385,0.125,0.6115,0.3175,0.1265,NA,8
"I",0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
"M",NA,0.42,0.17,0.8465,0.336,0.2405,NA,NA
"I",NA,0.505,NA,NA,0.6025,0.295,0.315,11
"I",0.435,0.345,0.12,0.4475,NA,NA,NA,7
"I",0.535,0.41,NA,NA,0.2745,0.1415,0.1815,12
"F",0.58,0.46,0.135,0.926,0.4025,0.208,0.275,8
"F",0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
"M",NA,0.44,0.185,0.909,NA,0.2325,0.255,15
"I",NA,0.255,0.085,0.1785,0.071,0.0405,0.055,NA
"F",0.54,0.42,0.14,NA,0.369,0.1725,NA,11
"F",0.56,0.455,0.16,0.967,0.4525,0.207,0.274,NA
"M",0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9
"M",0.615,0.47,0.145,1.0285,0.4435,NA,NA,NA
"F",0.465,NA,0.115,0.421,0.1565,0.091,0.1345,NA
"I",0.35,0.235,0.08,0.17,NA,0.0465,0.0495,7
"M",NA,0.475,0.145,1.053,0.4415,NA,0.325,15
"I",0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
